altura,radio,densidad,densidad_volumetrica,vs,delta_mic,delta_bulk,amp_mic,amp_bulk,densidad_nominal,Niter
10.0,2.0,0.4012,0.4047,0.25,7.5350817976651765,-0.4186156554258431,70278694124.67387,1209795770720.9536,0.4,8
10.0,2.0,0.495,0.4956,0.25,6.2792348313876465,-0.4186156554258431,86079087378.67317,1207920487195.9092,0.5,8
10.0,2.0,0.5929,0.5865,0.25,5.442003520535961,-0.4186156554258431,101863214231.7991,1205597814415.521,0.6,8
10.0,2.0,0.705,0.7163,0.25,3.7675408988325882,0.0,124411389689.824,1201933878078.5088,0.7,8
10.0,2.0,0.7847,0.7906,0.25,2.9303095879809016,0.0,137315389215.23164,1198410927007.3481,0.8,8
10.0,2.0,0.1006,0.0985,0.25,11.302622696497764,-0.8372313108516862,17114093355.605087,1214490591753.475,0.1,9
10.0,2.0,0.184,0.1857,0.25,10.046775730220235,-0.8372313108516862,32257590963.777897,1213263353860.2437,0.2,9
10.0,2.0,0.303,0.3042,0.25,8.790928763942706,-0.4186156554258431,52828731856.90512,1211504030774.1052,0.3,9
10.0,2.0,0.4012,0.4044,0.25,7.5350817976651765,-0.4186156554258431,70225873267.67361,1209817170282.585,0.4,9
10.0,2.0,0.5,0.4995,0.25,6.2792348313876465,-0.4186156554258431,86752655814.43219,1207800582872.167,0.5,9
10.0,2.0,0.5902,0.5914,0.25,5.442003520535961,-0.4186156554258431,102713423832.13718,1205681937081.52,0.6,9
10.0,2.0,0.7063,0.7122,0.25,3.7675408988325882,0.0,123692113019.31355,1201880143434.4973,0.7,9
10.0,2.0,0.797,0.7868,0.25,2.9303095879809016,0.0,136652274984.48172,1198325099188.9976,0.8,9
10.0,2.0,0.0995,0.0985,0.25,11.302622696497764,-0.8372313108516862,17104757453.417147,1214502171732.72,0.1,10
10.0,2.0,0.1879,0.186,0.25,10.465391385646077,-0.8372313108516862,32303167893.75828,1213352111771.356,0.2,10
10.0,2.0,0.3013,0.3061,0.25,8.790928763942706,-0.8372313108516862,53159530606.92838,1211552085955.2031,0.3,10
10.0,2.0,0.4011,0.4078,0.25,7.5350817976651765,-0.4186156554258431,70826419678.19682,1209686740716.5244,0.4,10
10.0,2.0,0.5037,0.4997,0.25,6.2792348313876465,-0.4186156554258431,86779285637.09808,1207833695268.724,0.5,10
10.0,2.0,0.5896,0.5883,0.25,5.442003520535961,-0.4186156554258431,102175828172.44916,1205599816363.2278,0.6,10
10.0,2.0,0.7134,0.712,0.25,3.7675408988325882,0.0,123649903123.81046,1201535977767.5547,0.7,10
10.0,2.0,0.7713,0.7859,0.25,2.9303095879809016,0.0,136489392379.08487,1198885110283.859,0.8,10
10.0,2.0,0.0983,0.0983,0.25,11.721238351923606,-0.8372313108516862,17070923972.03214,1214484209164.5903,0.1,11
10.0,2.0,0.1843,0.1859,0.25,10.465391385646077,-0.8372313108516862,32278797068.891327,1213312347411.9546,0.2,11
10.0,2.0,0.3069,0.3052,0.25,9.209544419368548,-0.8372313108516862,53007725848.5198,1211411725594.8594,0.3,11
10.0,2.0,0.4072,0.4008,0.25,7.5350817976651765,-0.4186156554258431,69601088401.7987,1209806909140.9563,0.4,11
10.0,2.0,0.5023,0.4997,0.25,6.2792348313876465,-0.4186156554258431,86785932966.83006,1207734511450.025,0.5,11
10.0,2.0,0.5903,0.5848,0.25,5.442003520535961,-0.4186156554258431,101564269205.28543,1205820952849.1375,0.6,11
